departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,191364.0
Legislatura Municipal,Seguro Social Federal,15053.0
Legislatura Municipal,Plan Medico,10800.0
Legislatura Municipal,Bono Navideno,5400.0
Legislatura Municipal,Materiales de Oficina,5000.0
Legislatura Municipal,Materiales de Mantenimiento,2000.0
Legislatura Municipal,Combustible y Lubricantes,3000.0
Legislatura Municipal,Telefono y Comunicaciones,1000.0
Legislatura Municipal,Materiales y Suministros de Operacion,3000.0
Legislatura Municipal,Equipo de Oficina,14000.0
Legislatura Municipal,Dietas,100000.0
Legislatura Municipal,Adiestramientos,2500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,48000.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Seguros,500.0
Legislatura Municipal,Cuotas y Suscripciones,2500.0
Legislatura Municipal,Renta de Equipos y Vehiculos,13000.0
Legislatura Municipal,Mantenimiento de Equipo,2000.0
Legislatura Municipal,Mantenimiento de Vehiculos,1000.0
Legislatura Municipal,Mantenimiento de Edificios,2900.0
Legislatura Municipal,Miscelaneos,3000.0
Legislatura Municipal,Publicaciones y Anuncios,4000.0
Oficina del Alcalde(sa),Empleados Regulares,1515048.0
Oficina del Alcalde(sa),Seguro Social Federal,117692.0
Oficina del Alcalde(sa),Plan Medico,48000.0
Oficina del Alcalde(sa),Bono Navideno,23400.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1000.0
Oficina del Alcalde(sa),Miscelaneos,1000.0
Finanzas,Empleados Regulares,667704.0
Finanzas,Seguro Social Federal,52365.0
Finanzas,Plan Medico,33600.0
Finanzas,Seguro por Desempleo,50000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,551745.0
Finanzas,Bono Navideno,16800.0
Finanzas,Materiales y Suministros de Operacion,5000.0
Finanzas,Servicios Profesionales - No Clasificados,103520.0
Finanzas,Seguros,803780.0
Finanzas,Deficit,567383.0
Finanzas,Intereses Cuentas Vendidas,71267.0
Finanzas,Miscelaneos,5000.0
Finanzas,Reclamaciones Anos Anteriores,175000.0
Finanzas,Aportacion al CRIM,480439.0
Finanzas,Aportacion al Fondo de Equiparacion,4416313.0
Finanzas,Liquidacion Deuda del CRIM,367165.0
Finanzas,Devolucion de Intereses y Otros,1000.0
Obras Publicas,Empleados Regulares,966348.0
Obras Publicas,Seguro Social Federal,76267.0
Obras Publicas,Plan Medico,61200.0
Obras Publicas,Bono Navideno,30600.0
Obras Publicas,Alimentos,5000.0
Obras Publicas,Combustible y Lubricantes,840000.0
Obras Publicas,Materiales de Construccion,25000.0
Obras Publicas,Materiales y Suministros de Operacion,126000.0
Obras Publicas,Equipo de Mecanica,20000.0
Obras Publicas,Vehiculos Municipales,5000.0
Obras Publicas,Equipo de Mantenimiento,45000.0
Obras Publicas,Equipo de Construccion,45000.0
Obras Publicas,Servicios No Profesionales,762125.0
Obras Publicas,Renta de Equipos y Vehiculos,743120.0
Obras Publicas,Mantenimiento de Equipo,135000.0
Obras Publicas,Mantenimiento de Vehiculos,150000.0
Obras Publicas,Miscelaneos,20000.0
Obras Publicas,Disposicion de Desperdicios,2891280.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,405072.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,31815.0
Oficina Municipal Manejo de Emergencias,Plan Medico,21600.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,10800.0
Oficina Municipal Manejo de Emergencias,Herramientas,1000.0
Oficina Municipal Manejo de Emergencias,Drogas, Medicinas y Otros Suministros,10000.0
Oficina Municipal Manejo de Emergencias,Alimentos,2000.0
Oficina Municipal Manejo de Emergencias,Telefono y Comunicaciones,2000.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,1000.0
Oficina Municipal Manejo de Emergencias,Materiales y Suministros de Operacion,5000.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,2000.0
Oficina Municipal Manejo de Emergencias,Servicios Profesionales - No Clasificados,65970.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Equipo,3000.0
Guardia Municipal,Empleados Regulares,1835760.0
Guardia Municipal,Seguro Social Federal,144154.0
Guardia Municipal,Plan Medico,97200.0
Guardia Municipal,Bono Navideno,48600.0
Guardia Municipal,Compra de Uniformes,20000.0
Guardia Municipal,Materiales y Suministros de Operacion,2000.0
Recursos Humanos,Empleados Regulares,357732.0
Recursos Humanos,Empleados Transitorios,4760664.0
Recursos Humanos,Seguro Choferil,13600.0
Recursos Humanos,Seguro Social Federal,406016.0
Recursos Humanos,Plan Medico,22800.0
Recursos Humanos,Bono Navideno,189000.0
Recursos Humanos,Materiales y Suministros de Operacion,2000.0
Recursos Humanos,Adiestramientos,5000.0
Recursos Humanos,Servicios Profesionales - No Clasificados,56000.0
Recursos Humanos,Pruebas de Dopaje,20000.0
Asuntos del Ciudadano,Empleados Regulares,936048.0
Asuntos del Ciudadano,Seguro Social Federal,73261.0
Asuntos del Ciudadano,Plan Medico,43200.0
Asuntos del Ciudadano,Bono Navideno,21600.0
Asuntos del Ciudadano,Alimentos,180000.0
Asuntos del Ciudadano,Donaciones,5000.0
Asuntos del Ciudadano,Miscelaneos,20000.0
Asuntos del Ciudadano,Festival o Actividad I,10000.0
Vivienda,Empleados Regulares,240084.0
Vivienda,Seguro Social Federal,18642.0
Vivienda,Plan Medico,7200.0
Vivienda,Bono Navideno,3600.0
Vivienda,Servicios Profesionales - No Clasificados,79200.0
Vivienda,Miscelaneos,75000.0
Secretaria Municipal,Empleados Regulares,717912.0
Secretaria Municipal,Seguro Social Federal,56481.0
Secretaria Municipal,Plan Medico,40800.0
Secretaria Municipal,Bono Navideno,20400.0
Secretaria Municipal,Materiales de Oficina,60000.0
Secretaria Municipal,Compra de Uniformes,20000.0
Secretaria Municipal,Energia Electrica,1612450.0
Secretaria Municipal,Acueducto y Alcantarillados,1300000.0
Secretaria Municipal,Telefono y Comunicaciones,382620.0
Secretaria Municipal,Materiales y Suministros de Operacion,110000.0
Secretaria Municipal,Compra de Equipos,212000.0
Secretaria Municipal,Canon Excavaciones y Demoliciones,10000.0
Secretaria Municipal,Servicios Profesionales - No Clasificados,211440.0
Secretaria Municipal,Servicios No Profesionales,40000.0
Secretaria Municipal,Gastos de Viaje,3000.0
Secretaria Municipal,Cuotas y Suscripciones,14000.0
Secretaria Municipal,Renta de Edificios, Locales y Terrenos,84000.0
Secretaria Municipal,Renta de Equipos y Vehiculos,100000.0
Secretaria Municipal,Mantenimiento de Equipo,25000.0
Secretaria Municipal,Reparacion y Mantenimiento de Estructuras,75000.0
Secretaria Municipal,Mantenimiento de Edificios,60000.0
Secretaria Municipal,Miscelaneos,10000.0
Secretaria Municipal,Publicaciones y Anuncios,30000.0
Secretaria Municipal,Franqueo,10000.0
Secretaria Municipal,Pago de Sentencias y Reclamaciones,360000.0
Secretaria Municipal,Materiales de Mantenimiento,60000.0
Asuntos Legales,Empleados Regulares,84216.0
Asuntos Legales,Seguro Social Federal,6534.0
Asuntos Legales,Plan Medico,2400.0
Asuntos Legales,Bono Navideno,1200.0
Asuntos Legales,Servicios Legales,210000.0
Auditoria Interna,Empleados Regulares,98448.0
Auditoria Interna,Seguro Social Federal,7669.0
Auditoria Interna,Plan Medico,3600.0
Auditoria Interna,Bono Navideno,1800.0
Auditoria Interna,Gastos de Auditoria Sencilla (Single Audit),32925.0
Centro de Procesamiento de Datos,Empleados Regulares,141432.0
Centro de Procesamiento de Datos,Seguro Social Federal,11050.0
Centro de Procesamiento de Datos,Plan Medico,6000.0
Centro de Procesamiento de Datos,Bono Navideno,3000.0
Centro de Procesamiento de Datos,Materiales y Suministros de Operacion,10000.0
Centro de Procesamiento de Datos,Programas de Computadoras,10000.0
Centro de Procesamiento de Datos,Servicios Profesionales - No Clasificados,148617.0
Centro de Procesamiento de Datos,Cuotas y Suscripciones,1000.0
Centro de Procesamiento de Datos,Compra de Equipos,70000.0
Centro de Procesamiento de Datos,Mantenimiento de Equipo,40738.0
Centro de Procesamiento de Datos,Miscelaneos,5000.0
Educacion,Empleados Regulares,616476.0
Educacion,Seguro Social Federal,48354.0
Educacion,Plan Medico,31200.0
Educacion,Bono Navideno,15600.0
Educacion,Materiales y Suministros de Operacion,80000.0
Educacion,Miscelaneos,3000.0
Educacion,Otros Festivales o Actividades,420000.0
Planificacion y Desarrollo,Empleados Regulares,327228.0
Planificacion y Desarrollo,Seguro Social Federal,25584.0
Planificacion y Desarrollo,Plan Medico,14400.0
Planificacion y Desarrollo,Bono Navideno,7200.0
Planificacion y Desarrollo,Materiales y Suministros de Operacion,10000.0
Planificacion y Desarrollo,Servicios Profesionales - No Clasificados,515800.0
Planificacion y Desarrollo,Miscelaneos,150000.0
Desarrollo Social y Participacion Ciudadana,Empleados Regulares,162276.0
Desarrollo Social y Participacion Ciudadana,Seguro Social Federal,12598.0
Desarrollo Social y Participacion Ciudadana,Plan Medico,4800.0
Desarrollo Social y Participacion Ciudadana,Bono Navideno,2400.0
Desarrollo Social y Participacion Ciudadana,Materiales y Suministros de Operacion,25000.0
Desarrollo Social y Participacion Ciudadana,Servicios Profesionales - No Clasificados,358900.0
Desarrollo Social y Participacion Ciudadana,Miscelaneos,10000.0
