departamento,ingreso,monto
Finanzas,Patentes,8263324.0
Finanzas,Impuesto Municipal sobre las Ventas,5401990.0
Finanzas,Intereses y Recargos por Demoras en Patentes,85000.0
Finanzas,Arbitrios de Construccion,2353702.0
Finanzas,Licencias y Permisos,371013.0
Finanzas,Compensacion AEE,1556730.0
Finanzas,Otros Ingresos Intergubernamentales,1436807.0
Finanzas,Compensaciones Estatales,500000.0
Finanzas,Renta Locales y Propiedad Municipal,255720.0
Finanzas,Otros Ingresos,3269719.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),10065839.0
Contribucion Recaudos e Ingresos Municipales (CRIM),Otros Ingresos,1000.0
Finanzas,Otros Recursos Financieros,3500000.0
Finanzas,Permisos de Uso Parques y Recreos,7500.0
