departamento,ingreso,monto
Finanzas,Patentes,3600000.0
Finanzas,Impuesto Municipal sobre las Ventas,2770407.0
Finanzas,Fondo Desarrollo Municipal,350000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,60000.0
Finanzas,Otros Impuestos Locales,0.0
Finanzas,Arbitrios de Construccion,1800000.0
Finanzas,Compensacion AEE,1028958.0
Finanzas,Otros Ingresos Intergubernamentales,2302931.0
Finanzas,Intereses en Inversiones,20000.0
Finanzas,Renta Locales y Propiedad Municipal,300000.0
Finanzas,Otros Ingresos,2500000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),7711343.0
