departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,70032.0
Legislatura Municipal,Seguro Choferil,32.0
Legislatura Municipal,Seguro Social Federal,5541.05
Legislatura Municipal,Plan Medico,4800.0
Legislatura Municipal,Bono Navideno,2400.0
Legislatura Municipal,Dietas,28000.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Materiales de Mantenimiento,300.0
Legislatura Municipal,Equipo de Oficina,2200.0
Legislatura Municipal,Adiestramientos,100.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,3000.0
Legislatura Municipal,Gastos de Viaje,100.0
Legislatura Municipal,Cuotas y Suscripciones,2800.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,24000.0
Legislatura Municipal,Renta de Equipos y Vehiculos,3500.0
Legislatura Municipal,Mantenimiento de Vehiculos,250.0
Legislatura Municipal,Miscelaneos,150.0
Legislatura Municipal,Publicaciones y Anuncios,100.0
Legislatura Municipal,Franqueo,200.0
Oficina del Alcalde(sa),Empleados Regulares,187488.0
Oficina del Alcalde(sa),Seguro Choferil,64.0
Oficina del Alcalde(sa),Seguro Social Federal,14710.03
Oficina del Alcalde(sa),Plan Medico,10800.0
Oficina del Alcalde(sa),Bono Navideno,4800.0
Oficina del Alcalde(sa),Gastos de Representacion,300.0
Oficina del Alcalde(sa),Gastos de Viaje,4000.0
Oficina del Alcalde(sa),Servicios Legales,120000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,9000.0
Oficina del Alcalde(sa),Donaciones,30000.0
Oficina del Alcalde(sa),Festival o Actividad I,35000.0
Oficina del Alcalde(sa),Otros Festivales o Actividades,15000.0
Oficina del Alcalde(sa),Becas,30000.0
Oficina del Alcalde(sa),Fiestas Patronales,1000.0
Oficina del Alcalde(sa),Empleados Regulares,247296.0
Oficina del Alcalde(sa),Seguro Choferil,96.0
Oficina del Alcalde(sa),Seguro Social Federal,19698.44
Oficina del Alcalde(sa),Plan Medico,20400.0
Oficina del Alcalde(sa),Bono Navideno,10200.0
Finanzas,Empleados Regulares,524664.0
Finanzas,Vacaciones Acumuladas, Licencia Regular,1000.0
Finanzas,Vacaciones Acumuladas, Licencia Enfermedad,60000.0
Finanzas,Seguro Choferil,144.0
Finanzas,Seguro Social Federal,46363.9
Finanzas,Plan Medico,40800.0
Finanzas,Seguro por Desempleo,125000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,344220.91
Finanzas,Bono Navideno,20400.0
Finanzas,Materiales de Oficina,5000.0
Finanzas,Materiales de Mantenimiento,4000.0
Finanzas,Energia Electrica,329809.08
Finanzas,Acueducto y Alcantarillados,305000.0
Finanzas,Telefono y Comunicaciones,75000.0
Finanzas,Equipo de Oficina,1000.0
Finanzas,Compra de Equipos,2000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),18900.0
Finanzas,Servicios Profesionales - No Clasificados,36000.0
Finanzas,Gastos de Viaje,10000.0
Finanzas,Canon Excavaciones y Demoliciones,5000.0
Finanzas,Seguros,340835.0
Finanzas,Deficit,26440.0
Finanzas,Intereses Cuentas Vendidas,20284.0
Finanzas,Mantenimiento de Equipo,10000.0
Finanzas,Reparacion y Mantenimiento de Estructuras,1000.0
Finanzas,Mantenimiento de Edificios,4000.0
Finanzas,Miscelaneos,40916.69
Finanzas,Publicaciones y Anuncios,6000.0
Finanzas,Franqueo,1000.0
Finanzas,Pago de Sentencias y Reclamaciones,53387.0
Finanzas,Reclamaciones Anos Anteriores,1000.0
Finanzas,Aportacion al CRIM,80180.98
Finanzas,Liquidacion Deuda del CRIM,19830.15
Finanzas,Servicios Profesionales - No Clasificados,54888.0
Finanzas,Transferencias que Salen,40000.0
Obras Publicas,Empleados Regulares,538032.0
Obras Publicas,Seguro Choferil,432.0
Obras Publicas,Seguro Social Federal,42811.85
Obras Publicas,Plan Medico,43200.0
Obras Publicas,Bono Navideno,21600.0
Obras Publicas,Herramientas,500.0
Obras Publicas,Materiales de Mantenimiento,500.0
Obras Publicas,Combustible y Lubricantes,145000.0
Obras Publicas,Materiales y Suministros de Operacion,10000.0
Obras Publicas,Compra de Equipos,500.0
Obras Publicas,Seguros,500.0
Obras Publicas,Mantenimiento de Equipo,31863.82
Obras Publicas,Mantenimiento de Vehiculos,27976.66
Obras Publicas,Miscelaneos,1000.0
Obras Publicas,Disposicion de Desperdicios,108000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,273540.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,192.0
Oficina Municipal Manejo de Emergencias,Servicios Profesionales - No Clasificados,6600.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,21752.01
Oficina Municipal Manejo de Emergencias,Plan Medico,21600.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,10800.0
Oficina Municipal Manejo de Emergencias,Compra de Uniformes,1000.0
Oficina Municipal Manejo de Emergencias,Mantenimiento de Vehiculos,1000.0
Guardia Municipal,Empleados Regulares,252252.0
Guardia Municipal,Seguro Choferil,192.0
Guardia Municipal,Seguro Social Federal,19985.78
Guardia Municipal,Plan Medico,18000.0
Guardia Municipal,Bono Navideno,9000.0
Recursos Humanos,Empleados Regulares,186876.0
Recursos Humanos,Seguro Choferil,16.0
Recursos Humanos,Seguro Social Federal,14846.81
Recursos Humanos,Plan Medico,14400.0
Recursos Humanos,Bono Navideno,7200.0
Recursos Humanos,Adiestramientos,1200.0
Recursos Humanos,Servicios Profesionales - No Clasificados,17400.0
Recursos Humanos,Pruebas de Dopaje,500.0
Recreacion y Deportes,Empleados Regulares,406572.0
Recreacion y Deportes,Seguro Choferil,336.0
Recreacion y Deportes,Seguro Social Federal,32387.96
Recreacion y Deportes,Plan Medico,33600.0
Recreacion y Deportes,Bono Navideno,16800.0
Recreacion y Deportes,Materiales y Suministros de Operacion,4000.0
Recreacion y Deportes,Compra de Equipos,500.0
Recreacion y Deportes,Mantenimiento de Edificios,1000.0
Recreacion y Deportes,Miscelaneos,2000.0
Cultura y Turismo,Empleados Regulares,123540.0
Cultura y Turismo,Seguro Choferil,80.0
Cultura y Turismo,Seguro Social Federal,9818.01
Cultura y Turismo,Plan Medico,9600.0
Cultura y Turismo,Bono Navideno,4800.0
Cultura y Turismo,Materiales y Suministros de Operacion,500.0
Cultura y Turismo,Mantenimiento de Edificios,1000.0
Asuntos del Ciudadano,Empleados Regulares,102708.0
Asuntos del Ciudadano,Seguro Choferil,16.0
Asuntos del Ciudadano,Seguro Social Federal,8178.46
Asuntos del Ciudadano,Plan Medico,8400.0
Asuntos del Ciudadano,Bono Navideno,4200.0
Secretaria Municipal,Empleados Regulares,189504.0
Secretaria Municipal,Seguro Choferil,32.0
Secretaria Municipal,Seguro Social Federal,15047.86
Secretaria Municipal,Plan Medico,14400.0
Secretaria Municipal,Bono Navideno,7200.0
Auditoria Interna,Empleados Regulares,53748.0
Auditoria Interna,Seguro Choferil,48.0
Auditoria Interna,Seguro Social Federal,4249.42
Auditoria Interna,Plan Medico,3600.0
Auditoria Interna,Bono Navideno,1800.0
Conservacion y Ornato,Empleados Regulares,449028.0
Conservacion y Ornato,Seguro Choferil,192.0
Conservacion y Ornato,Seguro Social Federal,35773.54
Conservacion y Ornato,Plan Medico,37200.0
Conservacion y Ornato,Bono Navideno,18600.0
Conservacion y Ornato,Materiales de Mantenimiento,1000.0
Conservacion y Ornato,Materiales y Suministros de Operacion,1000.0
Conservacion y Ornato,Compra de Equipos,1000.0
Control Ambiental,Empleados Regulares,127224.0
Control Ambiental,Seguro Choferil,16.0
Control Ambiental,Seguro Social Federal,10145.74
Control Ambiental,Plan Medico,10800.0
Control Ambiental,Bono Navideno,5400.0
Facilidades Municipales,Empleados Regulares,29100.0
Facilidades Municipales,Seguro Social Federal,2317.95
Facilidades Municipales,Plan Medico,2400.0
Facilidades Municipales,Bono Navideno,1200.0
Facilidades Municipales,Empleados Regulares,28272.0
Facilidades Municipales,Seguro Social Federal,2254.61
Facilidades Municipales,Plan Medico,2400.0
Facilidades Municipales,Bono Navideno,1200.0
Facilidades Municipales,Empleados Regulares,30144.0
Facilidades Municipales,Seguro Social Federal,2397.82
Facilidades Municipales,Plan Medico,2400.0
Facilidades Municipales,Bono Navideno,1200.0
Recursos Humanos,Seguros,19500.0
Finanzas,Aportacion al Fondo de Equiparacion,1226833.23
