departamento,ingreso,monto
Finanzas,Patentes,585671.0
Finanzas,Impuesto Municipal sobre las Ventas,539124.61
Finanzas,Intereses, Recargos y Penalidades Sales Tax,17979.15
Finanzas,Intereses y Recargos por Demoras en Patentes,7266.74
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Arbitrios de Construccion,253800.0
Finanzas,Licencias y Permisos,20425.0
Finanzas,Compensacion AEE,0.0
Finanzas,Otros Ingresos Intergubernamentales,5249201.89
Finanzas,Compensaciones Estatales,0.0
Finanzas,Otros Ingresos por Servicios,0.0
Finanzas,Multas,27948.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Intereses Bancarios,24386.89
Finanzas,Ingresos Eventuales,415.32
Finanzas,Renta Locales y Propiedad Municipal,97000.0
Finanzas,Otros Ingresos,8720.54
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1682868.61
Finanzas,Otros IngresosPatentes Anos,6047.0
Finanzas,AnterioresAportaciones,0.0
Finanzas,Estatales,0.0
