departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,77520.0
Legislatura Municipal,Seguro Social Federal,6067.98
Legislatura Municipal,Plan Medico,5400.0
Legislatura Municipal,Bono Navideno,1800.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Dietas,48700.0
Legislatura Municipal,Equipo de Oficina,15000.0
Legislatura Municipal,Gastos de Representacion,1000.0
Legislatura Municipal,Adiestramientos,500.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,67700.0
Legislatura Municipal,Relaciones Publicas,3500.0
Legislatura Municipal,Gastos de Viaje,500.0
Legislatura Municipal,Cuotas y Suscripciones,2450.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4500.0
Legislatura Municipal,Mantenimiento de Equipo,500.0
Legislatura Municipal,Publicaciones y Anuncios,500.0
Oficina del Alcalde(sa),Empleados Regulares,512028.0
Oficina del Alcalde(sa),Seguro Social Federal,39996.34
Oficina del Alcalde(sa),Plan Medico,34200.0
Oficina del Alcalde(sa),Bono Navideno,10800.0
Oficina del Alcalde(sa),Gastos de Representacion,2500.0
Oficina del Alcalde(sa),Compra de Uniformes,5000.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,15000.0
Oficina del Alcalde(sa),Equipo de Oficina,2000.0
Oficina del Alcalde(sa),Mantenimiento de Biblioteca,2000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,39000.0
Oficina del Alcalde(sa),Servicios No Profesionales,115040.0
Oficina del Alcalde(sa),Relaciones Publicas,14000.0
Oficina del Alcalde(sa),Gastos de Viaje,1500.0
Oficina del Alcalde(sa),Servicios Legales,61800.0
Oficina del Alcalde(sa),Tasaciones,3000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,11000.0
Oficina del Alcalde(sa),Donaciones,24150.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,1500.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,10000.0
Oficina del Alcalde(sa),Mantenimiento de Edificios,50000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,1000.0
Oficina del Alcalde(sa),Donaciones,4000.0
Oficina del Alcalde(sa),Empleados Regulares,53820.0
Oficina del Alcalde(sa),Seguro Social Federal,4209.03
Oficina del Alcalde(sa),Plan Medico,3600.0
Oficina del Alcalde(sa),Bono Navideno,1200.0
Oficina del Alcalde(sa),Materiales y Suministros de Operacion,1000.0
Oficina del Alcalde(sa),Dietas Artisticas,60000.0
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,56820.0
Oficina del Alcalde(sa),Donaciones,13800.0
Oficina del Alcalde(sa),Fiestas Patronales,10000.0
Oficina del Alcalde(sa),Festival o Actividad I,5000.0
Oficina del Alcalde(sa),Festival o Actividad II,15000.0
Oficina del Alcalde(sa),Empleados Regulares,98635.2
Oficina del Alcalde(sa),Seguro Social Federal,7683.29
Oficina del Alcalde(sa),Plan Medico,5400.0
Oficina del Alcalde(sa),Bono Navideno,1800.0
Oficina del Alcalde(sa),Equipo de Oficina,1000.0
Oficina del Alcalde(sa),Renta de Equipos y Vehiculos,5208.0
Finanzas,Empleados Regulares,404664.0
Finanzas,Seguro Choferil,3000.0
Finanzas,Seguro Social Federal,31828.9
Finanzas,Plan Medico,34200.0
Finanzas,Seguro por Desempleo,49987.01
Finanzas,Beneficio por Fondo del Seguro del Estado,198132.37
Finanzas,Bono Navideno,11400.0
Finanzas,Materiales de Oficina,25000.0
Finanzas,Energia Electrica,625748.21
Finanzas,Acueducto y Alcantarillados,370688.0
Finanzas,Telefono y Comunicaciones,60000.0
Finanzas,Servicios Profesionales - No Clasificados,118018.0
Finanzas,Gastos de Viaje,500.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Cargos por Servicios Bancarios,15000.0
Finanzas,Seguros,531578.0
Finanzas,Gastos de Salud,273959.01
Finanzas,Renta de Edificios, Locales y Terrenos,30000.0
Finanzas,Renta de Equipos y Vehiculos,62710.2
Finanzas,Amortizacion de Principal de Prestamos,299040.44
Finanzas,Intereses Cuentas Vendidas,14840.73
Finanzas,Mantenimiento de Equipo,399.0
Finanzas,Miscelaneos,1000.0
Finanzas,Franqueo,6000.0
Finanzas,Pago de Sentencias y Reclamaciones,1000.0
Finanzas,Reclamaciones Anos Anteriores,5000.0
Finanzas,Aportacion al CRIM,232139.52
Finanzas,Transferencias que Salen,122991.12
Finanzas,Aportacion al Fondo de Equiparacion,985227.32
Obras Publicas,Empleados Regulares,899940.0
Obras Publicas,Seguro Social Federal,71094.51
Obras Publicas,Plan Medico,88200.0
Obras Publicas,Bono Navideno,29400.0
Obras Publicas,Herramientas,2500.0
Obras Publicas,Compra de Uniformes,5000.0
Obras Publicas,Combustible y Lubricantes,121611.41
Obras Publicas,Materiales de Construccion,500.0
Obras Publicas,Materiales y Suministros de Operacion,7500.0
Obras Publicas,Equipo de Mecanica,1000.0
Obras Publicas,Renta de Equipos y Vehiculos,4000.0
Obras Publicas,Mantenimiento de Equipo,3000.0
