departamento,ingreso,monto
Finanzas,Patentes,2534513.58
Finanzas,Impuesto Municipal sobre las Ventas,1419141.0
Finanzas,Intereses y Recargos por Demoras en Patentes,70000.0
Finanzas,Arbitrios de Construccion,625000.0
Finanzas,Licencias y Permisos,11165.0
Finanzas,Compensacion AEE,625748.21
Finanzas,Otros Ingresos Intergubernamentales,2857966.09
Finanzas,Disposicion Derperdicios,5000.0
Finanzas,Multas,15000.0
Finanzas,Intereses en Inversiones,0.0
Finanzas,Intereses Bancarios,50000.0
Finanzas,Renta Locales y Propiedad Municipal,204242.16
Finanzas,Otros Ingresos,245000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),4709435.22
