departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,79695.6
Legislatura Municipal,Seguro Choferil,24.0
Legislatura Municipal,Seguro Social Federal,6096.71
Legislatura Municipal,Plan Medico,7200.0
Legislatura Municipal,Beneficios Marginales,720.0
Legislatura Municipal,Materiales y Suministros de Operacion,2500.0
Legislatura Municipal,Dietas,35000.0
Legislatura Municipal,Relaciones Publicas,2000.0
Legislatura Municipal,Servicios Legales,18000.0
Legislatura Municipal,Cuotas y Suscripciones,4800.0
Legislatura Municipal,Otros Festivales o Actividades,750.0
Oficina del Alcalde(sa),Empleados Regulares,185280.0
Oficina del Alcalde(sa),Seguro Choferil,24.0
Oficina del Alcalde(sa),Seguro Social Federal,14173.92
Oficina del Alcalde(sa),Plan Medico,9000.0
Oficina del Alcalde(sa),Beneficios Marginales,900.0
Oficina del Alcalde(sa),Empleados Regulares,193590.36
Oficina del Alcalde(sa),Seguro Choferil,144.0
Oficina del Alcalde(sa),Seguro Social Federal,14809.66
Oficina del Alcalde(sa),Plan Medico,14400.0
Oficina del Alcalde(sa),Beneficios Marginales,1440.0
Finanzas,Empleados Regulares,798102.48
Finanzas,Seguro Choferil,432.0
Finanzas,Seguro Social Federal,61054.84
Finanzas,Plan Medico,72000.0
Finanzas,Miscelaneos,63388.78
Finanzas,Beneficios Marginales,7200.0
Finanzas,Beneficio por Fondo del Seguro del Estado,365079.39
Finanzas,Energia Electrica,668571.57
Finanzas,Dietas,900.0
Finanzas,Servicios Profesionales - No Clasificados,180000.0
Finanzas,Seguros,800000.0
Finanzas,Intereses Cuentas Vendidas,30454.47
Finanzas,Pago de Sentencias y Reclamaciones,1086942.16
Finanzas,Aportacion al Fondo de Equiparacion,1749657.78
Finanzas,Aportacion al CRIM,258018.17
Finanzas,Liquidacion Deuda del CRIM,1348623.72
Finanzas,Publicaciones y Anuncios,12000.0
Obras Publicas,Empleados Regulares,1230439.92
Obras Publicas,Seguro Choferil,792.0
Obras Publicas,Seguro Social Federal,94128.65
Obras Publicas,Plan Medico,136800.0
Obras Publicas,Beneficios Marginales,13680.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,293832.0
Oficina Municipal Manejo de Emergencias,Seguro Choferil,288.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,22478.15
Oficina Municipal Manejo de Emergencias,Plan Medico,27000.0
Oficina Municipal Manejo de Emergencias,Servicios No Profesionales,15000.0
Oficina Municipal Manejo de Emergencias,Beneficios Marginales,2700.0
Guardia Municipal,Empleados Regulares,493224.0
Guardia Municipal,Seguro Choferil,456.0
Guardia Municipal,Seguro Social Federal,37731.64
Guardia Municipal,Plan Medico,36000.0
Guardia Municipal,Beneficios Marginales,5220.0
Recursos Humanos,Empleados Transitorios,1301175.0
Recursos Humanos,Seguro Choferil,800.0
Recursos Humanos,Seguro Social Federal,99539.89
Recursos Humanos,Plan Medico,105000.0
Recursos Humanos,Empleados Regulares,146904.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,120000.0
Recursos Humanos,Beneficios Marginales,1260.0
Recursos Humanos,Seguro Social Federal,50000.0
Recursos Humanos,Plan Medico,12600.0
Recursos Humanos,Bono Navideno,140000.0
Cultura y Turismo,Empleados Regulares,755854.8
Cultura y Turismo,Seguro Choferil,528.0
Cultura y Turismo,Seguro Social Federal,57822.89
Cultura y Turismo,Plan Medico,81000.0
Cultura y Turismo,Beneficios Marginales,8100.0
Centro de Cuidado Diurno,Empleados Regulares,45686.4
Centro de Cuidado Diurno,Seguro Social Federal,3495.01
Centro de Cuidado Diurno,Plan Medico,5400.0
Centro de Cuidado Diurno,Beneficios Marginales,540.0
Asuntos del Ciudadano,Empleados Regulares,89874.0
Asuntos del Ciudadano,Seguro Choferil,72.0
Asuntos del Ciudadano,Seguro Social Federal,6875.36
Asuntos del Ciudadano,Plan Medico,9000.0
Asuntos del Ciudadano,Beneficios Marginales,900.0
Asuntos del Ciudadano,Empleados Regulares,357541.92
Asuntos del Ciudadano,Seguro Choferil,240.0
Asuntos del Ciudadano,Seguro Social Federal,27351.96
Asuntos del Ciudadano,Plan Medico,32400.0
Asuntos del Ciudadano,Beneficios Marginales,3240.0
Auditoria Interna,Empleados Regulares,55128.0
Auditoria Interna,Seguro Choferil,24.0
Auditoria Interna,Seguro Social Federal,4217.29
Auditoria Interna,Plan Medico,3600.0
Auditoria Interna,Beneficios Marginales,360.0
