departamento,ingreso,monto
Finanzas,Patentes,5320000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,70000.0
Finanzas,Arbitrios de Construccion,200000.0
Finanzas,Licencias y Permisos,40000.0
Finanzas,Compensacion AEE,668571.57
Finanzas,Otros Ingresos Intergubernamentales,2018743.14
Finanzas,Permisos de Uso Parques y Recreos,20000.0
Finanzas,Multas,7000.0
Finanzas,Ingresos Eventuales,120000.0
Finanzas,Renta Locales y Propiedad Municipal,120000.0
Finanzas,Otros Recursos Financieros,0.0
Finanzas,Otros Ingresos,80000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),5364959.78
