departamento,gasto,monto
Finanzas,Acueducto y Alcantarillados,90000.0
Finanzas,Materiales de Oficina ,20000.0
Finanzas,Telefono y Comunicaciones,100000.0
Finanzas,Equipo de Oficina,15000.0
Finanzas,Compra de Equ ipos,15000.0
Finanzas,Gastos de Viaie,20000.0
Finanzas,Renta de Equipos y Vehfculos,60000.0
Finanzas,Herramientas,2000.0
Finanzas,Combustible y Lubricantes,120000.0
Finanzas,SeQuros,254474.0
Finanzas,Reserva de Deficit,20000.0
Finanzas,Miscelaneos,35000.0
Finanzas,Materiales y Suministros de Operacion,10000.0
Finanzas,Materiales de Mantenimiento,10000.0
Finanzas,Pago de Sentencias IV  Reclamaciones,1127000.0
Finanzas,Aportacion al CRIM,50084.82
Finanzas,Liquidacion Deuda del CRIM,191495.18
Finanzas,Transferencias que Salen,250000.0
Finanzas,lntereses Cuentas Vendidas,5108.11
Finanzas,Aportacion a l Fondo de Equiparacion,779688.15
Oficina Municipal Manejo de Emergencias,Sistema de Retiro,70097.78
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,27820.91
Oficina Municipal Manejo de Emergencias,Plan Medico,45600.0
Oficina Municipal Manejo de Emergencias,Bono Naviderio,9500.0
Oficina Municipal Manejo de Emergencias,Segura Social Federal,726.75
Oficina Municipal Manejo de Emergencias,Equipo Medico,5000.0
Guardia Municipal,Empleados Requlares,446016.0
Guardia Municipal,Sistema de Retiro,85969.58
Guardia Municipal,Segura Social Federal,34120.22
Guardia Municipal,Plan  Medico,57600.0
Guardia Municipal,Bono Naviderio,12000.0
Guardia Municipal,Seguro Social Federal,918.0
Recursos Humanos,Empleados Requlares,273096.0
Recursos Humanos,Empleados lrrequlares Vacaciones Acumuladas, Licencia Enfermedad,601026.0
Recursos Humanos,Empleados lrrequlares Vacaciones Acumuladas, Licencia Enfermedad,5000.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Reqular,25000.0
Recursos Humanos,Sistema de Retiro,52639.25
Recursos Humanos,Seguro Social Federal,20891.84
Recursos Humanos,Seguro Social Federal,45978.49
Recursos Humanos,Plan Medico,48000.0
Recursos Humanos,Bono Navidef\o,34500.0
Recursos Humanos,Segura Social Federal,2639.25
Recursos Humanos,Beneficios Marqinales,25000.0
Recursos Humanos,Pruebas de Dopaje,5000.0
Recursos Humanos,Adiestramientos,5000.0
Recreacion y Deportes,Empleados Requlares,321636.0
Recreacion y Deportes,Sistema de Retiro,61995.34
Recreacion y Deportes,Segura Social Federal,24605.15
Recreacion y Deportes,Plan Medico,50400.0
Recreacion y Deportes,Bono Navidef\o,10500.0
Recreacion y Deportes,Seguro Social Federal,803.25
Recreacion y Deportes,Otras Festivales o Actividades,1500.0
Sanidad o Saneamiento,Empleados Requlares,442116.0
Sanidad o Saneamiento,Sistema de Retiro,85217.86
Sanidad o Saneamiento,Seguro Social Federal,33821.87
Sanidad o Saneamiento,Plan Medico,72000.0
Sanidad o Saneamiento,Bono Naviderio,15000.0
Sanidad o Saneamiento,Seguro Social Federal,1147.5
Centro de Envejecientes,Em plead as ReQulares,122040.0
Centro de Envejecientes,Sistema de Retiro,23523.21
Centro de Envejecientes,Seguro Social Federal,9336.06
Centro de Envejecientes,Plan  Medico,16800.0
Centro de Envejecientes,Bono Naviderio,3500.0
Centro de Envejecientes,Segura Social Federal,267.75
Centro de Envejecientes,Alimentos,25000.0
Aportaciones Federales,Empleados ReQulares,132540.0
Aportaciones Federales,Sistema de Retiro,25547.09
Aportaciones Federales,Segura Social Federal,10139.31
Aportaciones Federales,Plan Medico,16800.0
Aportaciones Federales,Bono Naviderio,3500.0
Aportaciones Federales,Seguro Social Federal,267.75
Cultura y Turismo,Empleados Regula res,261744.0
Planificacion y Desarrollo,Sistema de Retiro,17606.56
Planificacion y Desarrollo,Segura Social Federal,6987.82
Planificacion y Desarrollo,Plan Med ico,9600.0
Planificacion y Desarrollo,Bono Navidelio,2000.0
Planificacion y Desarrollo,Segura Social Federal,153.0
Compras y Suministros,Empleados Requlares,113196.0
Compras y Suministros,Sistema de Retiro,21818.53
Compras y Suministros,Segura Social Federal,8659.49
Compras y Suministros,Plan  Medico,16800.0
Compras y Suministros,Bono Navidelio,3500.0
Compras y Suministros,Segura Social Federal,267.75
Reciclaje,Empleados Requlares,43296.0
Reciclaje,Seguro Social Federal,3312.14
Reciclaje,Plan  Medico,4800.0
Reciclaje,Bono Navideno,1000.0
Reciclaje,Segura Social Federal,76.5
Centro de Bellas Artes,Empleados Regulares,15348.0
Centro de Bellas Artes,Sistema de Retire,2958.33
Centro de Bellas Artes,Segura Social Federal,1174.12
Centro de Bellas Artes,Plan Medico,2400.0
Centro de Bellas Artes,Bono Navideno,500.0
Centro de Bellas Artes,Seguro Social Federal,38.25
