departamento,ingreso,monto
Finanzas,Patentes,550000.0
Finanzas,lntereses y Recargos par Demoras en Patentes,16500.0
Finanzas,Fonda Redencion Municipal,451321.58
Finanzas,lmpuesto Municipal sabre las Ventas,600000.0
Finanzas,lntereses, Recargos y Penalidades Sales Tax,15000.0
Finanzas,Arbitrios de Construccion,550000.0
Finanzas,Licencias y  Permisos,10000.0
Finanzas,Multas,1500.0
Finanzas,lntereses Bancarios,10000.0
Finanzas,lngresos Eventuales,800000.0
Finanzas,Renta Locales y Propiedad Municipal,60000.0
Finanzas,Otros lnqresos,3922881.97
Finanzas,Compensacion AEE,304956.61
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),1067992.31
Finanzas,Otros lngresos lntergubernamentale s,3042742.95
Finanzas,Compensaciones Estatales,0.0
