departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,57720.0
Legislatura Municipal,Materiales de Oficina,1500.0
Legislatura Municipal,Combustible y Lubricantes,2000.0
Legislatura Municipal,Vehiculos Municipales,30000.0
Legislatura Municipal,Compra de Equipos,2500.0
Legislatura Municipal,Dietas,32000.0
Legislatura Municipal,Adiestramientos,1000.0
Legislatura Municipal,Servicios Profesionales - No Clasificados,11200.0
Legislatura Municipal,Relaciones Publicas,1000.0
Legislatura Municipal,Gastos de Viaje,6000.0
Legislatura Municipal,Servicios Legales,28800.0
Legislatura Municipal,Cuotas y Suscripciones,2400.0
Legislatura Municipal,Renta de Equipos y Vehiculos,1840.0
Legislatura Municipal,Mantenimiento de Equipo,800.0
Legislatura Municipal,Mantenimiento de Vehiculos,1800.0
Legislatura Municipal,Mantenimiento de Edificios,500.0
Legislatura Municipal,Miscelaneos,1200.0
Legislatura Municipal,Publicaciones y Anuncios,2500.0
Legislatura Municipal,Franqueo,400.0
Oficina del Alcalde(sa),Empleados Regulares,492519.84
Oficina del Alcalde(sa),Servicios Profesionales - No Clasificados,254800.0
Oficina del Alcalde(sa),Servicios Legales,88000.0
Oficina del Alcalde(sa),Servicios de Ingenieria y Arquitectura,275500.0
Oficina del Alcalde(sa),Materiales de Oficina,4000.0
Oficina del Alcalde(sa),Compra de Equipos,30000.0
Oficina del Alcalde(sa),Servicios No Profesionales,520800.0
Oficina del Alcalde(sa),Relaciones Publicas,31500.0
Oficina del Alcalde(sa),Gastos de Viaje,22000.0
Oficina del Alcalde(sa),Cuotas y Suscripciones,6000.0
Oficina del Alcalde(sa),Donaciones,50000.0
Oficina del Alcalde(sa),Becas,5000.0
Oficina del Alcalde(sa),Mantenimiento de Equipo,30000.0
Oficina del Alcalde(sa),Publicaciones y Anuncios,15000.0
Oficina del Alcalde(sa),Franqueo,2000.0
Oficina del Alcalde(sa),Festival o Actividad II,20000.0
Finanzas,Empleados Regulares,317150.55
Finanzas,Seguro Choferil,3000.0
Finanzas,Seguro Social Federal,482833.16
Finanzas,Plan Medico,525600.0
Finanzas,Adiestramientos,1000.0
Finanzas,Gastos de Auditoria Sencilla (Single Audit),30000.0
Finanzas,Seguro por Desempleo,150000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,243944.07
Finanzas,Bono Navideno,208500.0
Finanzas,Materiales de Oficina,15000.0
Finanzas,Compra de Uniformes,1000.0
Finanzas,Energia Electrica,256006.38
Finanzas,Acueducto y Alcantarillados,250000.0
Finanzas,Telefono y Comunicaciones,130000.0
Finanzas,Compra de Equipos,50000.0
Finanzas,Servicios Profesionales - No Clasificados,144696.0
Finanzas,Gastos de Viaje,10000.0
Finanzas,Tasaciones,5500.0
Finanzas,Cargos por Servicios Bancarios,85000.0
Finanzas,Seguros,500000.0
Finanzas,Renta de Edificios, Locales y Terrenos,35000.0
Finanzas,Renta de Equipos y Vehiculos,30000.0
Finanzas,Deficit,100000.0
Finanzas,Intereses Cuentas Vendidas,4024.73
Finanzas,Mantenimiento de Equipo,30000.0
Finanzas,Miscelaneos,107806.13
Finanzas,Publicaciones y Anuncios,5000.0
Finanzas,Franqueo,2000.0
Finanzas,Pago de Sentencias y Reclamaciones,328289.23
Finanzas,Reclamaciones Anos Anteriores,600000.0
Finanzas,Aportacion al Fondo de Equiparacion,283000.19
Finanzas,Aportacion al CRIM,45129.92
Finanzas,Liquidacion Deuda del CRIM,146166.78
Finanzas,Transferencias que Salen,308731.84
Obras Publicas,Empleados Regulares,508500.0
Obras Publicas,Materiales de Mantenimiento,30000.0
Obras Publicas,Combustible y Lubricantes,400000.0
