departamento,ingreso,monto
Finanzas,Patentes,1203597.0
Finanzas,Impuesto Municipal sobre las Ventas,332060.0
Finanzas,Intereses y Recargos por Demoras en Patentes,25000.0
Finanzas,Otros Impuestos Locales,200000.0
Finanzas,Arbitrios de Construccion,4587648.76
Finanzas,Licencias y Permisos,33027.96
Finanzas,Compensacion AEE,256006.38
Finanzas,Otros Ingresos Intergubernamentales,5610933.05
Finanzas,Compensaciones Estatales,98750.0
Finanzas,Permisos de Uso Estadios y Coliseos,52000.0
Finanzas,Disposicion Derperdicios,90000.0
Finanzas,Multas,60000.0
Finanzas,Ingresos Eventuales,50000.0
Finanzas,Renta Locales y Propiedad Municipal,42000.0
Finanzas,Otros Ingresos,330000.0
Finanzas,Contribucion Propiedad No Exonerada (Otras Fuentes Financieras),968599.83
Asuntos del Ciudadano,Ventas Sellos y Comprobantes Departamento de Hacienda,3000.0
Asuntos del Ciudadano,Otros Ingresos por Servicios,60000.0
Empresas,Otros IngresosPermisos de Uso,200000.0
Municipales,Estadios y Coliseos,50000.0
