departamento,gasto,monto
Legislatura Municipal,Empleados Regulares,52368.0
Legislatura Municipal,Empleados Irregulares,5655.0
Legislatura Municipal,Seguro Social Federal,4535.0
Legislatura Municipal,Plan Medico,4500.0
Legislatura Municipal,Bono Navideno,1000.0
Legislatura Municipal,Materiales de Oficina,500.0
Legislatura Municipal,Materiales de Mantenimiento,200.0
Legislatura Municipal,Telefono y Comunicaciones,4200.0
Legislatura Municipal,Compra de Equipos,1000.0
Legislatura Municipal,Dietas,30000.0
Legislatura Municipal,Servicios Legales,26500.0
Legislatura Municipal,Cuotas y Suscripciones,2500.0
Legislatura Municipal,Renta de Edificios, Locales y Terrenos,17400.0
Legislatura Municipal,Renta de Equipos y Vehiculos,4871.0
Legislatura Municipal,Miscelaneos,1200.0
Legislatura Municipal,Franqueo,150.0
Oficina del Alcalde(sa),Empleados Regulares,146844.0
Oficina del Alcalde(sa),Seguro Social Federal,11330.0
Oficina del Alcalde(sa),Plan Medico,9000.0
Oficina del Alcalde(sa),Bono Navideno,1250.0
Oficina del Alcalde(sa),Gastos de Viaje,500.0
Finanzas,Empleados Regulares,432132.0
Finanzas,Empleados Transitorios,67988.0
Finanzas,Seguro Choferil,4000.0
Finanzas,Seguro Social Federal,38872.0
Finanzas,Plan Medico,48000.0
Finanzas,Bono Navideno,8000.0
Finanzas,Seguro por Desempleo,80000.0
Finanzas,Beneficio por Fondo del Seguro del Estado,283670.0
Finanzas,Materiales de Oficina,8000.0
Finanzas,Materiales de Mantenimiento,5000.0
Finanzas,Energia Electrica,249215.0
Finanzas,Acueducto y Alcantarillados,330000.0
Finanzas,Telefono y Comunicaciones,36000.0
Finanzas,Compra de Equipos,2000.0
Finanzas,Gastos de Representacion,20000.0
Finanzas,Servicios Profesionales - No Clasificados,80000.0
Finanzas,Gastos de Viaje,300.0
Finanzas,Canon Excavaciones y Demoliciones,8000.0
Finanzas,Seguros,225000.0
Finanzas,Cuotas y Suscripciones,100.0
Finanzas,Renta de Edificios, Locales y Terrenos,20000.0
Finanzas,Renta de Equipos y Vehiculos,75000.0
Finanzas,Deficit,100000.0
Finanzas,Reserva de Deficit,100000.0
Finanzas,Intereses Cuentas Vendidas,7587.0
Finanzas,Miscelaneos,500.0
Finanzas,Franqueo,500.0
Finanzas,Pago de Sentencias y Reclamaciones,200000.0
Finanzas,Reclamaciones Anos Anteriores,80000.0
Finanzas,Disposicion de Desperdicios,53000.0
Finanzas,Aportacion al Fondo de Equiparacion,1395203.0
Finanzas,Aportacion al CRIM,160014.0
Finanzas,Transferencias que Salen,140391.0
Obras Publicas,Empleados Regulares,1155867.0
Obras Publicas,Empleados Transitorios,166320.0
Obras Publicas,Seguro Social Federal,103290.0
Obras Publicas,Plan Medico,166625.0
Obras Publicas,Bono Navideno,28000.0
Obras Publicas,Combustible y Lubricantes,200000.0
Obras Publicas,Materiales de Construccion,30000.0
Obras Publicas,Compra de Equipos,1000.0
Obras Publicas,Renta de Equipos y Vehiculos,500.0
Obras Publicas,Mantenimiento de Equipo,10000.0
Obras Publicas,Reparacion y Mantenimiento de Estructuras,35000.0
Oficina Municipal Manejo de Emergencias,Empleados Regulares,380234.0
Oficina Municipal Manejo de Emergencias,Empleados Transitorios,64132.0
Oficina Municipal Manejo de Emergencias,Seguro Social Federal,34626.0
Oficina Municipal Manejo de Emergencias,Plan Medico,49500.0
Oficina Municipal Manejo de Emergencias,Bono Navideno,8250.0
Oficina Municipal Manejo de Emergencias,Compra de Equipos,500.0
Oficina Municipal Manejo de Emergencias,Adiestramientos,300.0
Guardia Municipal,Empleados Regulares,1379403.0
Guardia Municipal,Empleados Transitorios,35836.0
Guardia Municipal,Seguro Social Federal,109873.0
Guardia Municipal,Plan Medico,126000.0
Guardia Municipal,Bono Navideno,21000.0
Guardia Municipal,Compra de Equipos,1000.0
Guardia Municipal,Mantenimiento de Equipo,10000.0
Recursos Humanos,Empleados Regulares,207791.0
Recursos Humanos,Empleados Transitorios,28296.0
Recursos Humanos,Empleados Irregulares,689910.0
Recursos Humanos,Seguro Social Federal,73211.0
Recursos Humanos,Plan Medico,25500.0
Recursos Humanos,Bono Navideno,31000.0
Recursos Humanos,Beneficios Marginales,2000.0
Recursos Humanos,Adiestramientos,1000.0
Recursos Humanos,Pruebas de Dopaje,500.0
Recursos Humanos,Beneficios Marginales,10000.0
Recursos Humanos,Tiempo Compensatorio Estatal,500.0
Recursos Humanos,Tiempo Compensatorio Federal,500.0
Recursos Humanos,Vacaciones Acumuladas, Licencia Enfermedad,20290.0
