departamento,ingreso,monto
Finanzas,Patentes,2450000.0
Finanzas,Patentes Anos Anteriores,65000.0
Finanzas,Impuesto Municipal sobre las Ventas,1000000.0
Finanzas,Intereses y Recargos por Demoras en Patentes,100000.0
Finanzas,Contribucion sobre Propiedad Exonerada,0.0
Finanzas,Contribucion sobre la Propiedad, Anos Anteriores,0.0
Finanzas,Arbitrios de Construccion,690000.0
Finanzas,Licencias y Permisos,40000.0
Finanzas,Compensacion AEE,229559.0
Finanzas,Otros Ingresos Intergubernamentales,3674720.0
Finanzas,Compensaciones Estatales,0.0
Finanzas,Permisos de Uso Parques y Recreos,17000.0
Finanzas,Permisos de Uso Estadios y Coliseos,500.0
Finanzas,Multas,45268.0
Finanzas,Intereses en Inversiones,1000.0
Finanzas,Ingresos Eventuales,11000.0
Finanzas,Renta Locales y Propiedad Municipal,30000.0
Finanzas,Otros Ingresos,110000.0
Finanzas,Otros Recursos FinancierosContribucion,1035046.0
Finanzas,Propiedad No,3336762.0
#N/A,Otros Ingresos,0.0
